Player_ID,position
361,Centre-Forward
362,Midfield
362,Attacking Midfield
363,Goalkeeper
364,Attack
364,Centre-Forward
365,Defender
365,Centre-Back
366,Attack
366,Centre-Forward
367,Defender
367,Right-Back
368,Attack
368,Second Striker
369,Midfield
369,Defensive Midfield
370,Midfield
370,Central Midfield
371,Attack
371,Centre-Forward
372,Defender
372,Centre-Back
373,Defender
373,Centre-Back
374,Defender
374,Centre-Back
375,Goalkeeper
376,Defender
376,Centre-Back
377,Goalkeeper
378,Attack
378,Centre-Forward
379,Attack
379,Right Winger
380,Midfield
380,Defensive Midfield
381,Goalkeeper
382,Goalkeeper
383,Midfield
383,Central Midfield
384,Midfield
384,Central Midfield
385,Defender
385,Centre-Back
386,Defender
386,Centre-Back
387,Midfield
387,Attacking Midfield
388,Midfield
388,Central Midfield
389,Attack
389,Centre-Forward
390,Midfield
390,Defensive Midfield
391,Goalkeeper
392,Defender
392,Centre-Back
393,Goalkeeper
394,Defender
394,Right-Back
395,Defender
395,Right-Back
396,Midfield
396,Defensive Midfield
397,Attack
397,Right Winger
398,Attack
398,Centre-Forward
399,Defender
399,Centre-Back
400,Attack
400,Right Winger
401,Attack
401,Right Winger
402,Midfield
402,Left Midfield
403,Defender
403,Centre-Back
404,Midfield
404,Right Midfield
405,Midfield
405,Central Midfield
406,Defender
406,Centre-Back
407,Attack
407,Centre-Forward
408,Midfield
408,Defensive Midfield
409,Midfield
409,Defensive Midfield
410,Midfield
410,Central Midfield
411,Goalkeeper
412,Defender
412,Left-Back
413,Defender
413,Left-Back
414,Goalkeeper
415,Midfield
415,Defensive Midfield
416,Defender
416,Right-Back
417,Defender
417,Right-Back
418,Goalkeeper
419,Midfield
419,Central Midfield
420,Attack
420,Centre-Forward
421,Defender
421,Centre-Back
422,Defender
422,Centre-Back
423,Attack
423,Second Striker
424,Defender
424,Centre-Back
425,Defender
425,Centre-Back
426,Midfield
426,Central Midfield
427,Midfield
427,Defensive Midfield
428,Midfield
428,Attacking Midfield
429,Midfield
429,Attacking Midfield
430,Attack
430,Centre-Forward
431,Midfield
431,Defensive Midfield
432,Midfield
432,Left Midfield
433,Defender
433,Centre-Back
434,Goalkeeper
435,Defender
435,Centre-Back
436,Attack
436,Centre-Forward
437,Midfield
437,Defensive Midfield
438,Goalkeeper
439,Attack
439,Right Winger
440,Defender
440,Left-Back
441,Midfield
441,Central Midfield
442,Attack
442,Centre-Forward
443,Attack
443,Centre-Forward
444,Midfield
444,Defensive Midfield
445,Midfield
445,Defensive Midfield
446,Midfield
446,Attacking Midfield
447,Defender
447,Right-Back
448,Defender
448,Centre-Back
449,Midfield
449,Attacking Midfield
450,Midfield
450,Defensive Midfield
451,Attack
451,Centre-Forward
452,Defender
452,Centre-Back
453,Attack
453,Left Winger
454,Defender
454,Centre-Back
455,Defender
455,Left-Back
456,Defender
456,Left-Back
457,Defender
457,Right-Back
458,Defender
458,Centre-Back
459,Defender
459,Centre-Back
460,Attack
460,Right Winger
461,Attack
461,Centre-Forward
462,Attack
462,Centre-Forward
463,Midfield
463,Attacking Midfield
464,Attack
464,Left Winger
465,Defender
465,Right-Back
466,Attack
466,Centre-Forward
467,Midfield
467,Central Midfield
468,Defender
468,Centre-Back
469,Midfield
469,Attacking Midfield
470,Defender
470,Centre-Back
471,Defender
471,Left-Back
472,Defender
472,Left-Back
473,Defender
473,Centre-Back
474,Defender
474,Right-Back
475,Midfield
475,Left Midfield
476,Goalkeeper
477,Attack
477,Left Winger
478,Defender
478,Right-Back
479,Goalkeeper
480,Defender
480,Centre-Back
481,Defender
481,Centre-Back
482,Goalkeeper
483,Midfield
483,Central Midfield
484,Defender
484,Right-Back
