Game_ID,Club_Name
632,Mainz
633,Werder Bremen
633,Dortmund
634,Hoffenheim
634,Leverkusen
635,Freiburg
635,Stuttgart
636,Wolfsburg
636,Schalke 04
637,RB Leipzig
637,Union Berlin
638,Ein Frankfurt
638,FC Koln
639,Bayern Munich
639,Bochum
640,Freiburg
640,Bochum
641,Dortmund
641,Hertha
642,Hoffenheim
642,Augsburg
643,Leverkusen
643,Mainz
644,RB Leipzig
644,Wolfsburg
645,Union Berlin
645,Schalke 04
646,Bayern Munich
646,M'gladbach
647,Stuttgart
647,FC Koln
648,Werder Bremen
648,Ein Frankfurt
649,Hoffenheim
649,Dortmund
650,Bochum
650,Werder Bremen
651,Freiburg
651,Leverkusen
652,Stuttgart
652,Schalke 04
653,Bayern Munich
653,Union Berlin
654,Wolfsburg
654,FC Koln
655,RB Leipzig
655,Ein Frankfurt
656,Augsburg
656,Hertha
657,Mainz
657,M'gladbach
658,Werder Bremen
658,Augsburg
659,Stuttgart
659,Bayern Munich
660,Ein Frankfurt
660,Wolfsburg
661,Leverkusen
661,Hertha
662,Hoffenheim
662,Mainz
663,Dortmund
663,RB Leipzig
664,Schalke 04
664,Bochum
665,Union Berlin
665,FC Koln
666,Freiburg
666,M'gladbach
667,Hertha
667,Mainz
668,Augsburg
668,Bayern Munich
669,Dortmund
669,Schalke 04
670,Werder Bremen
670,Leverkusen
671,Stuttgart
671,Ein Frankfurt
672,RB Leipzig
672,M'gladbach
673,Union Berlin
673,Wolfsburg
674,FC Koln
674,Bochum
675,Hoffenheim
675,Freiburg
676,Leverkusen
676,Bayern Munich
677,Ein Frankfurt
677,Union Berlin
678,Dortmund
678,FC Koln
679,Freiburg
679,Mainz
680,Bochum
680,RB Leipzig
681,Wolfsburg
681,Stuttgart
682,M'gladbach
682,Werder Bremen
683,Hertha
683,Hoffenheim
684,Augsburg
684,Schalke 04
685,Hoffenheim
685,Werder Bremen
686,Wolfsburg
686,Augsburg
687,Bochum
687,Ein Frankfurt
688,Schalke 04
688,Leverkusen
689,Mainz
689,RB Leipzig
690,Bayern Munich
690,Dortmund
691,M'gladbach
691,FC Koln
692,Freiburg
692,Hertha
693,Stuttgart
693,Union Berlin
694,Hoffenheim
694,Schalke 04
695,Leverkusen
695,Ein Frankfurt
696,Stuttgart
696,Bochum
697,Mainz
697,Werder Bremen
698,Wolfsburg
698,M'gladbach
699,Hertha
699,RB Leipzig
700,FC Koln
700,Augsburg
701,Dortmund
701,Union Berlin
702,Bayern Munich
702,Freiburg
703,FC Koln
703,Mainz
704,Augsburg
704,RB Leipzig
705,Stuttgart
705,Dortmund
706,Freiburg
706,Werder Bremen
707,Bayern Munich
707,Hoffenheim
708,Leverkusen
708,Wolfsburg
709,Ein Frankfurt
709,M'gladbach
710,Bochum
710,Union Berlin
711,Schalke 04
711,Hertha
712,Werder Bremen
712,Hertha
713,Bayern Munich
713,Mainz
